Vehicle, Route
Ruta del vehículo 0: 1 -> 23 -> 4 -> 5 -> 6 -> 2 -> 25 -> 26 -> 30 -> 28 -> 36 -> 7 -> 27 -> 29 -> 16 -> 11 -> 31 -> 1
Ruta del vehículo 1: 1 -> 19 -> 24 -> 22 -> 9 -> 15 -> 10 -> 18 -> 12 -> 13 -> 8 -> 14 -> 17 -> 31 -> 1
Ruta del vehículo 2: 1 -> 20 -> 21 -> 3 -> 1
Ruta del vehículo 3: 1 -> 1
