Epoch,Train Accuracy
1,0.21444603142215873
2,0.3728830850846766
3,0.4750561109977556
4,0.5509079779636809
5,0.6063048357478066
6,0.6395633544174658
7,0.6795041828198327
8,0.7068965517241379
9,0.7309732707610692
10,0.7523464599061416
