Epoch,Train Loss,Train Accuracy
1,1.9455085456079604,0.4290961028361559
2,0.8950189116728442,0.7236278310548867
3,0.6384387345130739,0.8031524178739032
4,0.4924586341818141,0.8465619261375229
5,0.41953341601276695,0.8704856151805754
6,0.35434942909244443,0.8920628443174863
7,0.3171860002654302,0.9035400938583963
8,0.28080897600715526,0.9122117935115283
9,0.2580007956267166,0.9182309732707611
10,0.2450046655114248,0.9244541930218323
